test_subject,k,n_train,eval_samples,acc,macro_f1
cx,0,879,286,92.657,0.9224
cyy,0,945,220,73.182,0.7151
myj,0,945,220,89.545,0.8941
qyh,0,924,241,79.253,0.7914
zyh,0,967,198,89.394,0.8888
cx,1,901,264,93.561,0.9345
cyy,1,967,198,83.333,0.8391
myj,1,967,198,94.949,0.9492
qyh,1,946,219,82.648,0.8228
zyh,1,989,176,92.045,0.9184
cx,3,945,220,95.0,0.9496
cyy,3,1011,154,86.364,0.8621
myj,3,1011,154,94.805,0.9473
qyh,3,990,175,84.0,0.8436
zyh,3,1033,132,93.939,0.9381
