test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,scratch,0,286,87.762
cx,dual,scratch,1,264,85.985
cx,dual,scratch,3,220,85.455
cyy,dual,scratch,0,220,80.455
cyy,dual,scratch,1,198,87.374
cyy,dual,scratch,3,154,94.156
myj,dual,scratch,0,220,85.0
myj,dual,scratch,1,198,88.889
myj,dual,scratch,3,154,91.558
qyh,dual,scratch,0,241,83.402
qyh,dual,scratch,1,219,84.932
qyh,dual,scratch,3,175,88.571
zyh,dual,scratch,0,198,85.354
zyh,dual,scratch,1,176,85.795
zyh,dual,scratch,3,132,90.152
