test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,61.888
cx,dual,supLP120,1,264,62.5
cx,dual,supLP120,3,220,77.727
cyy,dual,supLP120,0,220,53.636
cyy,dual,supLP120,1,198,59.596
cyy,dual,supLP120,3,154,70.779
myj,dual,supLP120,0,220,55.909
myj,dual,supLP120,1,198,61.616
myj,dual,supLP120,3,154,70.779
qyh,dual,supLP120,0,241,58.921
qyh,dual,supLP120,1,219,70.776
qyh,dual,supLP120,3,175,78.286
zyh,dual,supLP120,0,198,70.707
zyh,dual,supLP120,1,176,72.159
zyh,dual,supLP120,3,132,85.606
