test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supcon,0,286,82.867
cx,dual,supcon,1,264,79.545
cx,dual,supcon,3,220,85.0
cyy,dual,supcon,0,220,70.909
cyy,dual,supcon,1,198,78.283
cyy,dual,supcon,3,154,87.013
myj,dual,supcon,0,220,79.091
myj,dual,supcon,1,198,79.798
myj,dual,supcon,3,154,88.961
qyh,dual,supcon,0,241,78.008
qyh,dual,supcon,1,219,82.192
qyh,dual,supcon,3,175,85.143
zyh,dual,supcon,0,198,78.283
zyh,dual,supcon,1,176,80.682
zyh,dual,supcon,3,132,83.333
