test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,mae,0,286,84.266
cx,dual,mae,1,264,86.742
cx,dual,mae,3,220,93.182
cyy,dual,mae,0,220,80.0
cyy,dual,mae,1,198,82.323
cyy,dual,mae,3,154,83.117
myj,dual,mae,0,220,64.545
myj,dual,mae,1,198,78.283
myj,dual,mae,3,154,85.714
qyh,dual,mae,0,241,80.498
qyh,dual,mae,1,219,79.452
qyh,dual,mae,3,175,88.571
zyh,dual,mae,0,198,90.404
zyh,dual,mae,1,176,92.614
zyh,dual,mae,3,132,96.97
