test_subject,mode,prior,k,eval_samples,final_acc
cx,quat,supLP120,0,286,50.35
cx,quat,supLP120,1,264,48.485
cx,quat,supLP120,3,220,53.636
cyy,quat,supLP120,0,220,50.455
cyy,quat,supLP120,1,198,52.525
cyy,quat,supLP120,3,154,58.442
myj,quat,supLP120,0,220,51.364
myj,quat,supLP120,1,198,46.97
myj,quat,supLP120,3,154,56.494
qyh,quat,supLP120,0,241,50.207
qyh,quat,supLP120,1,219,52.055
qyh,quat,supLP120,3,175,57.714
zyh,quat,supLP120,0,198,62.121
zyh,quat,supLP120,1,176,62.5
zyh,quat,supLP120,3,132,62.121
