test_subject,k,n_train,eval_samples,acc,macro_f1
cx,0,879,286,82.867,0.8224
cyy,0,945,220,82.727,0.8253
myj,0,945,220,90.0,0.8975
qyh,0,924,241,84.647,0.8368
zyh,0,967,198,93.939,0.9244
cx,1,901,264,89.015,0.8854
cyy,1,967,198,87.374,0.8772
myj,1,967,198,89.899,0.8974
qyh,1,946,219,91.324,0.9156
zyh,1,989,176,96.591,0.9628
cx,3,945,220,92.273,0.9196
cyy,3,1011,154,93.506,0.9353
myj,3,1011,154,95.455,0.9541
qyh,3,990,175,93.143,0.9314
zyh,3,1033,132,97.727,0.9768
