test_subject,mode,prior,k,eval_samples,final_acc
cx,quat,mae,0,286,48.951
cx,quat,mae,1,264,41.667
cx,quat,mae,3,220,43.182
cyy,quat,mae,0,220,59.091
cyy,quat,mae,1,198,57.071
cyy,quat,mae,3,154,64.286
myj,quat,mae,0,220,54.545
myj,quat,mae,1,198,48.485
myj,quat,mae,3,154,58.442
qyh,quat,mae,0,241,55.602
qyh,quat,mae,1,219,55.708
qyh,quat,mae,3,175,57.143
zyh,quat,mae,0,198,73.232
zyh,quat,mae,1,176,68.75
zyh,quat,mae,3,132,73.485
