test_subject,mode,prior,k,eval_samples,final_acc
cx,raw,scratch,0,286,87.063
cx,raw,scratch,1,264,89.773
cx,raw,scratch,3,220,97.273
cyy,raw,scratch,0,220,84.545
cyy,raw,scratch,1,198,90.404
cyy,raw,scratch,3,154,97.403
myj,raw,scratch,0,220,67.727
myj,raw,scratch,1,198,82.828
myj,raw,scratch,3,154,93.506
qyh,raw,scratch,0,241,72.199
qyh,raw,scratch,1,219,89.041
qyh,raw,scratch,3,175,90.286
zyh,raw,scratch,0,198,91.919
zyh,raw,scratch,1,176,97.159
zyh,raw,scratch,3,132,97.727
