test_subject,oov_label,method,k,calibration_mode,base_train_samples,base_val_samples,calib_samples,eval_samples,eval_known_samples,eval_oov_samples,final_acc_all,final_macro_f1_all,final_acc_known,final_macro_f1_known,final_acc_oov,final_recall_oov,best_diag_acc_all,best_diag_epoch,base_ckpt,calibration_ckpt,pretrained_ckpt,oov_pred_counts_json
sub8,wave,supMAE,5,head_only,1626,406,110,433,417,16,93.302540,0.910143,96.163070,0.952842,18.750000,18.750000,93.302540,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supMAE_k5_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""highfive"": 13, ""wave"": 3}"
sub8,wave,supMAE,10,head_only,1626,406,220,323,312,11,98.142415,0.981685,98.397436,0.985348,90.909091,90.909091,98.142415,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supMAE_k10_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""highfive"": 1, ""wave"": 10}"
sub8,wave,mae,1,head_only,1626,406,22,521,501,20,83.685221,0.802373,86.027944,0.835010,25.000000,25.000000,83.685221,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_k1_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""highfive"": 15, ""wave"": 5}"
sub8,wave,mae,3,head_only,1626,406,66,477,459,18,89.308176,0.888721,89.978214,0.895820,72.222222,72.222222,89.308176,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_k3_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""highfive"": 5, ""wave"": 13}"
sub8,wave,mae,5,head_only,1626,406,110,433,417,16,90.300231,0.888922,92.565947,0.921352,31.250000,31.250000,90.300231,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_k5_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""highfive"": 11, ""wave"": 5}"
sub8,wave,mae,10,head_only,1626,406,220,323,312,11,95.975232,0.956514,96.153846,0.958593,90.909091,90.909091,95.975232,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_mae_k10_head_only_last.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,"{""highfive"": 1, ""wave"": 10}"
sub8,wave,supcon,1,head_only,1626,406,22,521,501,20,87.907869,0.895745,87.425150,0.893048,100.000000,100.000000,87.907869,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_k1_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""wave"": 20}"
sub8,wave,supcon,3,head_only,1626,406,66,477,459,18,95.387841,0.949278,95.424837,0.949315,94.444444,94.444444,95.387841,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_k3_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""highfive"": 1, ""wave"": 17}"
sub8,wave,supcon,5,head_only,1626,406,110,433,417,16,96.535797,0.960627,97.122302,0.968088,81.250000,81.250000,96.535797,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_k5_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""brushteeth"": 1, ""highfive"": 2, ""wave"": 13}"
sub8,wave,supcon,10,head_only,1626,406,220,323,312,11,96.904025,0.968047,96.794872,0.966525,100.000000,100.000000,96.904025,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-wave_supcon_k10_head_only_last.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"{""wave"": 11}"
