test_subject,oov_label,method,num_known_classes,base_train_samples,base_val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt
sub8,highfive,supLP120,21,1623,406,25,99.014778,98.768473,0.986473,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-highfive_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,highfive,supMAE,21,1623,406,17,99.014778,99.014778,0.988979,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-highfive_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,highfive,mae,21,1623,406,41,98.768473,98.275862,0.982718,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-highfive_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,highfive,supcon,21,1623,406,23,99.261084,98.768473,0.986594,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-highfive_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,hop,scratch,21,1613,403,79,100.000000,99.503722,0.996201,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-hop_scratch_base21_bestVal.pth,
sub8,hop,supLP120,21,1613,403,8,99.255583,98.263027,0.983189,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-hop_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,hop,supMAE,21,1613,403,19,99.503722,99.255583,0.994626,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-hop_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,hop,mae,21,1613,403,33,99.751861,99.255583,0.991507,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-hop_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,hop,supcon,21,1613,403,7,99.007444,98.511166,0.984731,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-hop_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,jump,scratch,21,1627,407,19,99.262899,98.771499,0.986113,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-jump_scratch_base21_bestVal.pth,
