test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,68.881
cx,dual,supLP120,1,264,71.591
cx,dual,supLP120,3,220,79.091
cyy,dual,supLP120,0,220,71.818
cyy,dual,supLP120,1,198,74.747
cyy,dual,supLP120,3,154,81.818
myj,dual,supLP120,0,220,50.909
myj,dual,supLP120,1,198,69.192
myj,dual,supLP120,3,154,74.675
qyh,dual,supLP120,0,241,72.199
qyh,dual,supLP120,1,219,81.735
qyh,dual,supLP120,3,175,84.571
zyh,dual,supLP120,0,198,84.848
zyh,dual,supLP120,1,176,89.773
zyh,dual,supLP120,3,132,93.182
