test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,mae,0,286,71.329
cx,dual,mae,1,264,74.621
cx,dual,mae,3,220,79.545
cyy,dual,mae,0,220,72.727
cyy,dual,mae,1,198,78.788
cyy,dual,mae,3,154,83.117
myj,dual,mae,0,220,59.091
myj,dual,mae,1,198,76.768
myj,dual,mae,3,154,79.221
qyh,dual,mae,0,241,67.635
qyh,dual,mae,1,219,79.452
qyh,dual,mae,3,175,87.429
zyh,dual,mae,0,198,88.889
zyh,dual,mae,1,176,87.5
zyh,dual,mae,3,132,95.455
