test_subject,mode,prior,k,eval_samples,final_acc
cx,raw,scratch,0,286,88.811
cx,raw,scratch,1,264,89.394
cx,raw,scratch,3,220,97.727
cyy,raw,scratch,0,220,86.818
cyy,raw,scratch,1,198,90.909
cyy,raw,scratch,3,154,92.857
myj,raw,scratch,0,220,65.909
myj,raw,scratch,1,198,78.283
myj,raw,scratch,3,154,93.506
qyh,raw,scratch,0,241,77.593
qyh,raw,scratch,1,219,96.347
qyh,raw,scratch,3,175,96.0
zyh,raw,scratch,0,198,94.949
zyh,raw,scratch,1,176,96.023
zyh,raw,scratch,3,132,98.485
