test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supMAE,0,286,61.888
cx,dual,supMAE,1,264,65.53
cx,dual,supMAE,3,220,77.273
cyy,dual,supMAE,0,220,67.273
cyy,dual,supMAE,1,198,67.172
cyy,dual,supMAE,3,154,78.571
myj,dual,supMAE,0,220,60.0
myj,dual,supMAE,1,198,64.646
myj,dual,supMAE,3,154,69.481
qyh,dual,supMAE,0,241,59.751
qyh,dual,supMAE,1,219,67.123
qyh,dual,supMAE,3,175,77.143
zyh,dual,supMAE,0,198,72.727
zyh,dual,supMAE,1,176,75.0
zyh,dual,supMAE,3,132,87.879
