test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,79.72
cx,dual,supLP120,1,264,85.606
cx,dual,supLP120,3,220,90.909
cyy,dual,supLP120,0,220,85.455
cyy,dual,supLP120,1,198,82.323
cyy,dual,supLP120,3,154,88.312
myj,dual,supLP120,0,220,60.0
myj,dual,supLP120,1,198,74.747
myj,dual,supLP120,3,154,79.87
qyh,dual,supLP120,0,241,76.763
qyh,dual,supLP120,1,219,80.822
qyh,dual,supLP120,3,175,85.714
zyh,dual,supLP120,0,198,88.384
zyh,dual,supLP120,1,176,91.477
zyh,dual,supLP120,3,132,94.697
