vocab,method,k,tau,hard_success,mean_cost,rejection_rate,corrective_per_mission
4,scratch,3,0.0,0.743,19.379,0.0,0.593
4,mae,3,0.0,0.748,19.218,0.0,0.566
4,supMAE,3,0.0,0.766,18.278,0.0,0.406
4,supLP120,3,0.0,0.698,20.705,0.0,0.595
4,supcon,3,0.0,0.732,19.384,0.0,0.508
4,scratch,3,0.9,0.9,18.164,0.22797626725138656,0.226
4,mae,3,0.9,0.91,18.053,0.2730814420876878,0.214
4,supMAE,3,0.9,0.904,17.183,0.20170928757428055,0.122
4,supLP120,3,0.9,0.959,16.143,0.20639786737754082,0.186
4,supcon,3,0.9,0.91,16.443,0.15324858757062146,0.161
5,scratch,1,0.0,0.321,36.247,0.0,1.829
5,mae,1,0.0,0.207,43.359,0.0,2.373
5,supMAE,1,0.0,0.287,38.834,0.0,1.998
5,supLP120,1,0.0,0.337,35.684,0.0,1.648
5,supcon,1,0.0,0.302,37.632,0.0,1.984
5,scratch,1,0.9,0.548,30.035,0.35825012412423457,0.936
5,mae,1,0.9,0.275,38.367,0.4746,1.169
5,supMAE,1,0.9,0.481,33.954,0.3662192031915467,1.115
5,supLP120,1,0.9,0.649,27.779,0.3246590909090909,0.813
5,supcon,1,0.9,0.522,31.318,0.34535764375876576,0.951
5,scratch,3,0.0,0.493,29.533,0.0,1.511
5,mae,3,0.0,0.512,29.117,0.0,1.639
5,supMAE,3,0.0,0.554,27.311,0.0,1.477
5,supLP120,3,0.0,0.507,27.969,0.0,1.143
5,supcon,3,0.0,0.506,28.456,0.0,1.332
5,scratch,3,0.9,0.659,26.906,0.33198083967314734,0.767
5,mae,3,0.9,0.686,25.872,0.4542967972946091,0.688
5,supMAE,3,0.9,0.643,27.254,0.3590776190213494,0.809
5,supLP120,3,0.9,0.774,22.827,0.27707411672019877,0.482
5,supcon,3,0.9,0.779,22.421,0.2789686613127227,0.42
6,scratch,1,0.0,0.399,30.601,0.0,0.967
6,mae,1,0.0,0.247,40.932,0.0,1.344
6,supMAE,1,0.0,0.315,36.26,0.0,1.28
6,supLP120,1,0.0,0.233,40.628,0.0,1.236
6,supcon,1,0.0,0.261,36.842,0.0,1.074
6,scratch,1,0.9,0.672,24.935,0.23947067056877466,0.539
6,mae,1,0.9,0.451,33.395,0.3647791806803771,0.706
6,supMAE,1,0.9,0.457,31.66,0.27107019278299554,0.752
6,supLP120,1,0.9,0.523,29.396,0.2702072856617196,0.57
6,supcon,1,0.9,0.55,28.086,0.239488,0.567
6,scratch,3,0.0,0.549,25.234,0.0,0.518
6,mae,3,0.0,0.322,34.111,0.0,0.657
6,supMAE,3,0.0,0.493,27.07,0.0,0.57
6,supLP120,3,0.0,0.423,29.355,0.0,0.505
6,supcon,3,0.0,0.472,27.94,0.0,0.58
6,scratch,3,0.9,0.911,17.912,0.23022187722362378,0.311
6,mae,3,0.9,0.667,25.765,0.36504024971250204,0.408
6,supMAE,3,0.9,0.875,18.747,0.23877159309021112,0.279
6,supLP120,3,0.9,0.635,24.223,0.22105125351836094,0.242
6,supcon,3,0.9,0.716,21.769,0.1846509729214859,0.157
7,scratch,1,0.0,0.437,31.278,0.0,1.286
7,mae,1,0.0,0.401,33.638,0.0,1.506
7,supMAE,1,0.0,0.486,28.92,0.0,1.06
7,supLP120,1,0.0,0.421,31.65,0.0,1.37
7,supcon,1,0.0,0.451,30.014,0.0,1.118
7,scratch,1,0.9,0.646,26.063,0.358271220380465,0.535
7,mae,1,0.9,0.663,27.415,0.3940416556815186,0.73
7,supMAE,1,0.9,0.724,24.128,0.2828081612942171,0.694
7,supLP120,1,0.9,0.626,27.453,0.2655426118945432,0.741
7,supcon,1,0.9,0.682,24.951,0.2769958747876729,0.509
7,scratch,3,0.0,0.592,24.06,0.0,0.72
7,mae,3,0.0,0.689,21.227,0.0,0.709
7,supMAE,3,0.0,0.657,21.479,0.0,0.453
7,supLP120,3,0.0,0.727,19.265,0.0,0.375
7,supcon,3,0.0,0.686,20.944,0.0,0.408
7,scratch,3,0.9,0.771,22.226,0.3157617906609783,0.385
7,mae,3,0.9,0.79,23.022,0.37916048335806657,0.218
7,supMAE,3,0.9,0.862,19.645,0.25039123630672927,0.37
7,supLP120,3,0.9,0.857,18.34,0.20667505463214356,0.093
7,supcon,3,0.9,0.852,18.61,0.20807186736244138,0.137
8,scratch,1,0.0,0.749,20.731,0.0,1.097
8,mae,1,0.0,0.541,28.241,0.0,1.647
8,supMAE,1,0.0,0.651,23.502,0.0,1.214
8,supLP120,1,0.0,0.517,27.459,0.0,1.333
8,supcon,1,0.0,0.614,24.082,0.0,1.074
8,scratch,1,0.9,0.873,19.783,0.21541385411888067,0.668
8,mae,1,0.9,0.762,24.689,0.34429873305178926,0.651
8,supMAE,1,0.9,0.777,21.995,0.2206676644758248,0.696
8,supLP120,1,0.9,0.73,23.89,0.24377920929645067,0.732
8,supcon,1,0.9,0.787,22.051,0.21847258485639687,0.657
8,scratch,3,0.0,0.817,18.073,0.0,0.731
8,mae,3,0.0,0.72,21.472,0.0,1.084
8,supMAE,3,0.0,0.807,18.659,0.0,0.813
8,supLP120,3,0.0,0.77,19.127,0.0,0.729
8,supcon,3,0.0,0.752,19.898,0.0,0.826
8,scratch,3,0.9,0.953,17.501,0.20801324503311258,0.527
8,mae,3,0.9,0.854,21.002,0.328918070225521,0.349
8,supMAE,3,0.9,0.943,18.09,0.23104204281661078,0.534
8,supLP120,3,0.9,0.849,18.895,0.2078945625538115,0.272
8,supcon,3,0.9,0.874,17.996,0.18826637761669263,0.225
9,scratch,1,0.0,0.372,34.836,0.0,1.772
9,mae,1,0.0,0.454,33.523,0.0,2.281
9,supMAE,1,0.0,0.462,30.494,0.0,1.558
9,supLP120,1,0.0,0.381,34.241,0.0,1.767
9,supcon,1,0.0,0.416,33.031,0.0,1.757
9,scratch,1,0.9,0.72,25.717,0.35998696289858223,0.916
9,mae,1,0.9,0.628,30.27,0.37936130905252047,1.255
9,supMAE,1,0.9,0.616,27.669,0.3124638686553359,0.717
9,supLP120,1,0.9,0.64,27.193,0.2826218406095054,0.885
9,supcon,1,0.9,0.685,25.987,0.2634375386136167,0.947
9,scratch,3,0.0,0.608,23.842,0.0,0.754
9,mae,3,0.0,0.631,22.851,0.0,1.057
9,supMAE,3,0.0,0.719,19.692,0.0,0.504
9,supLP120,3,0.0,0.657,21.1,0.0,0.56
9,supcon,3,0.0,0.736,19.017,0.0,0.459
9,scratch,3,0.9,0.844,21.277,0.3533052193438852,0.186
9,mae,3,0.9,0.752,22.843,0.42522836908549727,0.359
9,supMAE,3,0.9,0.888,18.973,0.29102241399976025,0.089
9,supLP120,3,0.9,0.833,19.032,0.22955264347040216,0.147
9,supcon,3,0.9,0.872,18.219,0.22176764724982143,0.08
10,scratch,1,0.0,0.823,18.983,0.0,1.081
10,mae,1,0.0,0.736,21.746,0.0,1.362
10,supMAE,1,0.0,0.755,20.323,0.0,0.981
10,supLP120,1,0.0,0.698,22.371,0.0,1.257
10,supcon,1,0.0,0.803,18.988,0.0,0.916
10,scratch,1,0.9,0.871,19.192,0.25622931368263285,0.493
10,mae,1,0.9,0.791,22.738,0.31352015444918974,0.835
10,supMAE,1,0.9,0.854,19.982,0.24558739798823306,0.485
10,supLP120,1,0.9,0.869,19.689,0.2279729294231389,0.538
10,supcon,1,0.9,0.866,18.957,0.20002668801708032,0.463
10,scratch,3,0.0,0.83,17.61,0.0,0.69
10,mae,3,0.0,0.799,18.299,0.0,0.633
10,supMAE,3,0.0,0.845,17.093,0.0,0.611
10,supLP120,3,0.0,0.819,17.488,0.0,0.576
