test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,71.329
cx,dual,supLP120,1,264,73.106
cx,dual,supLP120,3,220,82.727
cyy,dual,supLP120,0,220,78.182
cyy,dual,supLP120,1,198,79.798
cyy,dual,supLP120,3,154,82.468
myj,dual,supLP120,0,220,52.727
myj,dual,supLP120,1,198,64.141
myj,dual,supLP120,3,154,80.519
qyh,dual,supLP120,0,241,62.656
qyh,dual,supLP120,1,219,74.886
qyh,dual,supLP120,3,175,83.429
zyh,dual,supLP120,0,198,84.343
zyh,dual,supLP120,1,176,85.795
zyh,dual,supLP120,3,132,95.455
